image,caption
190246_0.jpg,Two students are working on the laptop
190246_0.jpg,? Students are sitting infrontof ? laptop
190246_0.jpg,Two students are sitting on the chair
190246_0.jpg,? students are working in the room
190246_0.jpg,? Student is sitting on the chair
190248_0.jpg,A man ? wearing ? a shirt
190248_0.jpg,A man is sitting  on the table
190248_0.jpg,A man is sitting in the room
190248_0.jpg,A man is sitting in ? Room
190248_0.jpg,A man is sitting infrontof a laptop
190249.jpg,The man is sitting on the chair
190249.jpg,A man ? wearing ? a glasses
190249.jpg,? man is sitting on the chair
190249.jpg,A man ? Wearing ? a shirt
190249.jpg,A man ? wearing ? a coat
192437_0.jpg,A man is standing on the ground
192437_0.jpg,A man ? wearing ? the coat
192437_0.jpg,? Man ? wearing ? the coat
192437_0.jpg,A man is standing on ? ground
192437_0.jpg,A man ? wearing ? ? coat
192441_0.jpg,three men are sitting near the table
192441_0.jpg,three men are sitting behind a table
192441_0.jpg,? Men are talking ? ? ?
192441_0.jpg,threee men are talking ? ? ?
192441_0.jpg,three men are sitting in the room
192442_0.jpg,? Students are sitting in the room
192442_0.jpg,two men are talking in the room
192442_0.jpg,? Students are sitting behind the table
192442_0.jpg,? Students are talking in the room
192442_0.jpg,? Woman is sitting in ? room
192444_0.jpg,A man is working on the laptop
192444_0.jpg,A man is sitting in the room
192444_0.jpg,A man is sitting infrontof the laptop
192444_0.jpg,A man is working on his laptop
192444_0.jpg,A student is sitting in the room
199844_0.jpg,Three men are wearing ? a thing
199844_0.jpg,A man ? wearing ? a shirt
199844_0.jpg,Six people are standing ? ? ?
199844_0.jpg,A woman is standing ? ? ?
199844_0.jpg,A man is standing ? ? ?
199846_0.jpg,Three men are standing on the ground
199846_0.jpg,A man ? wearing ? a food
199846_0.jpg,A man ? wearing ? a shirt
199846_0.jpg,A man ? Wearing ? a thing
199846_0.jpg,A man ? wearing  ? a coat
199848_0.jpg,A man is sitting on the chair
199848_0.jpg,A man ? wearing ? a shirt
199848_0.jpg,A man is holding ? a thing
199848_0.jpg,A man ? wearing ? a glasses
199848_0.jpg,A man ? wearing  ? a coat
199852_0.jpg,four men ? wearing ? a shirt
199852_0.jpg,A man ? wearing ? a glasses
199852_0.jpg,A man ? wearing ? a food
199852_0.jpg,four men are sitting on a chair
199852_0.jpg,A man ? holding ? A thing
200085_0.jpg,Four men is sitting ? ? ?
200085_0.jpg,Four men ? wearing ? a shirt
200085_0.jpg,Four men ? wearing ? a food
200085_0.jpg,A man is sitting ? ? ?
200085_0.jpg,A man ? wearing  ? a glasses
200086_0.jpg,A man ? wearing ? a shirt
200086_0.jpg,A woman ? wearing  ? a shirt
200086_0.jpg,Two people are standing on the floor
200086_0.jpg,A woman is standing on the ground
200086_0.jpg,A man is standing on the ground
200088_0.jpg,A man ? wearing ? a shirt
200088_0.jpg,A woman ? wearing  ? a shirt
200088_0.jpg,Two people are standing on ? Ground
200088_0.jpg,A woman is standing on the ground
200088_0.jpg,A man is standing on the ground
200089_0.jpg,A man ? wearing ? a shirt
200089_0.jpg,A woman ? wearing  ? a shirt
200089_0.jpg,Two people are standing on ? Ground
200089_0.jpg,A woman is standing on the ground
200089_0.jpg,A man is standing on the ground
200090_0.jpg,A man ? wearing ? a shirt
200090_0.jpg,A woman ? wearing  ? a shirt
200090_0.jpg,Two people are standing on the floor
200090_0.jpg,A woman is standing on the ground
200090_0.jpg,A man is standing on the ground
200091_0.jpg,A man ? wearing  ? an uniform
